FECHA Y HORA,NUMERO DE IDENTIFICACION,NOMBRES,APELLIDOS,CELULAR,EMAIL,DIRECCION,COMPANIA,PROVINCIA,RESULTADO PRUEBA DE VIDA,RESULTADO DOCUMENT CHECK,RESULTADO FACEMATCH,RESULTADO BIOMETRIA
9/10/2024,5,Agnès,Stanion,201-208-0458,bstanion0@fotki.com,89548 Blaine Lane,Parker-Zemlak,Manabi,APROBADO,APROBADO,99,APROBADO
9/29/2024,9,Yáo,Peachey,235-249-8598,cpeachey1@pinterest.com,6058 Blue Bill Park Plaza,Collins-Grant,Guayas,APROBADO,APROBADO,96,APROBADO
7/22/2024,5,Fèi,Meaker,140-993-5488,dmeaker2@dailymail.co.uk,23085 Northview Lane,Bosco-Marks,Loja,APROBADO,DESAPROBADO,0,DESAPROBADO
12/5/2024,2,Michèle,Fairnington,953-493-8191,ofairnington3@w3.org,67524 Bluestem Point,Fadel-Cassin,Manabi,APROBADO,APROBADO,99,APROBADO
6/14/2024,5,Anaé,Verrick,319-725-7894,nverrick4@example.com,36701 Armistice Hill,"Heller, Hermiston and Hirthe",Loja,APROBADO,APROBADO,99,APROBADO
11/16/2024,8,Léonore,Turpie,614-853-5359,kturpie5@discuz.net,2983 Atwood Junction,Stanton and Sons,Guayas,DESAPROBADO,APROBADO,0,DESAPROBADO
12/13/2024,4,Anaëlle,Blanche,256-144-9990,wblanche6@mediafire.com,4 Talisman Lane,Beatty-Muller,Azuay,APROBADO,APROBADO,99,APROBADO
7/27/2024,7,Clélia,Fulks,315-798-0939,mfulks7@oracle.com,60074 Colorado Park,Treutel and Sons,Azuay,DESAPROBADO,APROBADO,0,DESAPROBADO
8/18/2024,8,Laurène,Tuhy,727-578-4080,jtuhy8@washingtonpost.com,3226 Maywood Way,Raynor Group,Guayas,DESAPROBADO,APROBADO,0,DESAPROBADO
8/5/2024,7,André,McParland,365-537-2440,mmcparland9@msn.com,2 Sugar Avenue,"Beahan, Kuphal and Walsh",Manabi,DESAPROBADO,APROBADO,0,DESAPROBADO
11/1/2024,9,Amélie,Hollyar,359-440-3960,shollyara@archive.org,24659 Katie Junction,Heidenreich Inc,Loja,APROBADO,APROBADO,99,APROBADO
12/21/2024,6,Marlène,Swedeland,848-376-7927,dswedelandb@twitter.com,0764 Nelson Point,"Ruecker, Stoltenberg and Kshlerin",Azuay,DESAPROBADO,APROBADO,0,DESAPROBADO
11/10/2024,3,Maëlle,Skellern,339-418-8514,cskellernc@quantcast.com,39924 Manufacturers Junction,Legros-Leuschke,Azuay,APROBADO,APROBADO,96,APROBADO
5/22/2024,9,Åslög,Charleston,313-945-7105,bcharlestond@csmonitor.com,1783 Lakewood Avenue,Kreiger and Sons,Pichincha,APROBADO,APROBADO,99,APROBADO
11/11/2024,7,Laïla,Cowdray,491-588-2075,bcowdraye@paginegialle.it,034 Forster Park,Runte and Sons,Pichincha,APROBADO,APROBADO,99,APROBADO
3/28/2024,9,Garçon,Gamet,775-481-1867,fgametf@wisc.edu,0 Northland Crossing,Fritsch-Bayer,Pichincha,APROBADO,APROBADO,99,APROBADO
7/26/2024,9,Lóng,Dunniom,863-129-4820,ddunniomg@gmpg.org,5 Packers Trail,Harris LLC,Azuay,APROBADO,APROBADO,99,APROBADO
9/12/2024,1,Magdalène,Bengal,582-186-5219,dbengalh@1688.com,49808 Shopko Pass,"Mayer, Hudson and Schultz",Azuay,APROBADO,APROBADO,99,APROBADO
7/3/2024,1,Stévina,Tunnacliffe,239-983-6363,mtunnacliffei@sciencedirect.com,31563 Talisman Point,Bahringer LLC,Guayas,APROBADO,APROBADO,99,APROBADO
12/4/2024,4,Tú,Welfair,452-655-9733,zwelfairj@guardian.co.uk,78994 Briar Crest Place,"Brekke, Koelpin and Cartwright",Guayas,APROBADO,APROBADO,99,APROBADO
1/3/2025,10,Léane,Christy,383-662-2406,jchristyk@t.co,93393 Atwood Court,"Yost, Dibbert and Huels",Pichincha,APROBADO,DESAPROBADO,0,DESAPROBADO
9/22/2024,9,Annotés,Bruckental,202-912-6855,kbruckentall@fda.gov,77 Sunfield Pass,Koepp-Wisoky,Azuay,APROBADO,APROBADO,99,APROBADO
4/22/2024,4,Nuó,Wilder,832-912-3007,cwilderm@youku.com,142 Village Center,Olson-Brekke,Azuay,APROBADO,APROBADO,99,APROBADO
10/5/2024,7,Aloïs,O'Dyvoy,540-133-6122,aodyvoyn@dell.com,43 Grasskamp Pass,"Gottlieb, DuBuque and Crist",Azuay,APROBADO,APROBADO,96,APROBADO
11/21/2024,2,André,Belcher,475-447-6173,abelchero@utexas.edu,45 Becker Junction,Conn-Armstrong,Manabi,APROBADO,APROBADO,96,APROBADO
6/1/2024,4,Bénédicte,Wisby,828-613-4346,gwisbyp@themeforest.net,367 Sundown Terrace,Breitenberg Inc,Guayas,APROBADO,APROBADO,96,APROBADO
8/22/2024,8,Eloïse,Sleaford,874-533-1289,msleafordq@google.pl,34105 Mitchell Parkway,"Torphy, Murphy and Block",Loja,DESAPROBADO,APROBADO,0,DESAPROBADO
11/30/2024,2,Ráo,Moulder,333-989-2477,kmoulderr@nih.gov,0212 Tomscot Point,"Stracke, Schuster and Rempel",Loja,APROBADO,APROBADO,99,APROBADO
4/28/2024,1,Tán,Bristowe,725-803-6752,jbristowes@seattletimes.com,675 Darwin Way,Abshire Group,Guayas,APROBADO,APROBADO,99,APROBADO
3/7/2024,9,Göran,Buttfield,306-254-3090,ybuttfieldt@marketwatch.com,6154 Corry Avenue,Wolf Inc,Manabi,APROBADO,APROBADO,99,APROBADO
5/5/2024,5,Marlène,Kenchington,146-327-1029,akenchingtonu@mysql.com,9597 Reindahl Street,"Bergstrom, Gibson and Nader",Azuay,APROBADO,APROBADO,99,APROBADO
8/17/2024,7,Nélie,Goodday,239-854-2546,kgooddayv@clickbank.net,69 Mayer Junction,Rutherford-Koepp,Pichincha,APROBADO,APROBADO,99,APROBADO
3/25/2024,3,Danièle,Kelsall,746-369-7778,akelsallw@icq.com,0537 Banding Circle,Wunsch-Dare,Loja,APROBADO,APROBADO,99,APROBADO
10/23/2024,2,Eliès,Ogelbe,936-416-4790,togelbex@prnewswire.com,98515 Westerfield Drive,Hahn Inc,Pichincha,APROBADO,APROBADO,99,APROBADO
9/11/2024,2,Léane,Wollacott,574-220-9657,cwollacotty@baidu.com,50502 Blaine Point,Treutel and Sons,Guayas,APROBADO,APROBADO,99,APROBADO
8/15/2024,1,Faîtes,Calliss,885-507-1599,ecallissz@zimbio.com,8 Blackbird Avenue,Considine Inc,Manabi,APROBADO,APROBADO,99,APROBADO
11/12/2024,5,Océane,Ricker,138-171-4202,lricker10@howstuffworks.com,05 Hoard Lane,"Feeney, Reinger and Howell",Pichincha,APROBADO,APROBADO,99,APROBADO
12/18/2024,5,Intéressant,Edmons,865-975-4391,pedmons11@alibaba.com,0 Shopko Plaza,Rowe-Durgan,Guayas,APROBADO,APROBADO,99,APROBADO
6/30/2024,6,Adélaïde,Picheford,125-446-3330,kpicheford12@admin.ch,8 Oak Street,Christiansen Inc,Azuay,APROBADO,APROBADO,99,APROBADO
